seed,diff_likelihood,diff_standard,homosexual,m_inpool,f_inpool,m_outpool,f_outpool,m_exp_all,f_exp_all,m_exp_ip,f_exp_ip,m_partner_all,f_partner_all,m_partner_ip,f_partner_ip,lt_likelihood
1931461413,1,0,0,59,56,91,94,1.2133333333333334,1.2133333333333334,3.0847457627118646,3.25,0.7266666666666667,0.7266666666666667,1.847457627118644,1.9464285714285714,6
-2131592046,1,0,0,48,47,102,103,0.6733333333333333,0.6733333333333333,2.1041666666666665,2.148936170212766,0.5866666666666667,0.5866666666666667,1.8333333333333333,1.872340425531915,6
451329928,1,0,0,44,50,106,100,0.86,0.86,2.9318181818181817,2.58,0.5866666666666667,0.5866666666666667,2,1.76,6
-1396651982,1,0,0,52,51,98,99,0.9933333333333333,0.9933333333333333,2.8653846153846154,2.9215686274509802,0.5866666666666667,0.5866666666666667,1.6923076923076923,1.7254901960784315,6
1608078039,1,0,0,46,46,104,104,0.8933333333333333,0.8933333333333333,2.9130434782608696,2.9130434782608696,0.46,0.46,1.5,1.5,6
1716912408,1,0,0,60,57,90,93,1.2,1.2,3,3.1578947368421053,0.7666666666666667,0.7666666666666667,1.9166666666666667,2.017543859649123,6
-2098855109,1,0,0,55,52,95,98,1.24,1.24,3.381818181818182,3.576923076923077,0.66,0.66,1.8,1.9038461538461537,6
-1243649754,1,0,0,52,45,98,105,0.8533333333333334,0.8533333333333334,2.4615384615384617,2.8444444444444446,0.5466666666666666,0.5466666666666666,1.5769230769230769,1.8222222222222222,6
-1714248050,1,0,0,44,35,106,115,0.66,0.66,2.25,2.8285714285714287,0.43333333333333335,0.43333333333333335,1.4772727272727273,1.8571428571428572,6
-1729911753,1,0,0,45,49,105,101,0.9466666666666667,0.9466666666666667,3.1555555555555554,2.8979591836734695,0.5533333333333333,0.5533333333333333,1.8444444444444446,1.6938775510204083,6
909980731,1,0,0,53,58,97,92,1.2666666666666666,1.2666666666666666,3.5849056603773586,3.2758620689655173,0.6666666666666666,0.6666666666666666,1.8867924528301887,1.7241379310344827,6
17303720,1,0,0,65,63,85,87,1.3,1.3,3,3.0952380952380953,0.8066666666666666,0.8066666666666666,1.8615384615384616,1.9206349206349207,6
2008820416,1,0,0,48,45,102,105,0.9133333333333333,0.9133333333333333,2.8541666666666665,3.0444444444444443,0.5533333333333333,0.5533333333333333,1.7291666666666667,1.8444444444444446,6
-303016412,1,0,0,52,55,98,95,1.1,1.1,3.173076923076923,3,0.6133333333333333,0.6133333333333333,1.7692307692307692,1.6727272727272726,6
-959123345,1,0,0,48,46,102,104,1.0533333333333332,1.0533333333333332,3.2916666666666665,3.4347826086956523,0.5466666666666666,0.5466666666666666,1.7083333333333333,1.7826086956521738,6
